b,theta,rho_mean,rho_std
1.0,0.0,0.9974954000000001,0.008195111430208618
1.0,0.1,0.9974954000000001,0.008195111430208618
1.0,0.2,0.9974954000000001,0.008195111430208618
1.0,0.3,0.9974954000000001,0.008195111430208618
1.0,0.4,0.9974954000000001,0.008195111430208618
1.0,0.5,0.9974954000000001,0.008195111430208618
1.0,0.6,0.9974954000000001,0.008195111430208618
1.0,0.7,0.9974954000000001,0.008195111430208618
1.0,0.8,0.9974954000000001,0.008195111430208618
1.0,0.9,0.9974954000000001,0.008195111430208618
1.0,1.0,0.9974954000000001,0.008195111430208618
1.1,0.0,0.9976858,0.0081307118452883
1.1,0.1,0.9976858,0.0081307118452883
1.1,0.2,0.9976858,0.0081307118452883
1.1,0.3,0.9974940999999999,0.008299827562404952
1.1,0.4,0.9974940999999999,0.008299827562404952
1.1,0.5,0.9967277,0.009604914762029855
1.1,0.6,0.9961758999999999,0.010672474942769402
1.1,0.7,0.9954630999999999,0.011557136733847577
1.1,0.8,0.9954630999999999,0.011557136733847577
1.1,0.9,0.9954630999999999,0.011557136733847577
1.1,1.0,0.9954630999999999,0.011557136733847577
1.2,0.0,0.9973292,0.008557548818311127
1.2,0.1,0.9973292,0.008557548818311127
1.2,0.2,0.9973292,0.008557548818311127
1.2,0.3,0.9971375,0.008710465129818165
1.2,0.4,0.9971375,0.008710465129818165
1.2,0.5,0.9965569999999999,0.009724597937730142
1.2,0.6,0.9920065000000001,0.015365413961625714
1.2,0.7,0.9919834000000001,0.015420670649252843
1.2,0.8,0.9919834000000001,0.015420670649252843
1.2,0.9,0.9919834000000001,0.015420670649252843
1.2,1.0,0.9919834000000001,0.015420670649252843
1.3,0.0,0.9973289,0.008558549732592131
1.3,0.1,0.9973289,0.008558549732592131
1.3,0.2,0.9973289,0.008558549732592131
1.3,0.3,0.9971372,0.008711441806235905
1.3,0.4,0.9971372,0.008711441806235905
1.3,0.5,0.9962864000000002,0.010582398624436008
1.3,0.6,0.9898268999999997,0.017682767945435548
1.3,0.7,0.9898123999999997,0.017716021232862474
1.3,0.8,0.9898123999999997,0.017716021232862474
1.3,0.9,0.9898123999999997,0.017716021232862474
1.3,1.0,0.9898123999999997,0.017716021232862474
1.4,0.0,0.9976483,0.008035170424295622
1.4,0.1,0.9976483,0.008035170424295622
1.4,0.2,0.9976483,0.008035170424295622
1.4,0.3,0.9974566,0.008205370404481922
1.4,0.4,0.9977963,0.0075697299439440235
1.4,0.5,0.9939701000000001,0.014748102873716959
1.4,0.6,0.9832318,0.02460981389936986
1.4,0.7,0.9829576000000002,0.024638002678788757
1.4,0.8,0.9829190000000001,0.024513067572586335
1.4,0.9,0.9829190000000001,0.024513067572586335
1.4,1.0,0.9825034000000001,0.02469820045053792
1.5,0.0,0.9971307,0.008733185547558309
1.5,0.1,0.9971307,0.008733185547558309
1.5,0.2,0.9971307,0.008733185547558309
1.5,0.3,0.9971307,0.008733185547558309
1.5,0.4,0.9974705,0.008152210628492964
1.5,0.5,0.9928029,0.015853848609958233
1.5,0.6,0.9730001,0.028792214979473887
1.5,0.7,0.9719130000000002,0.029386479695412433
1.5,0.8,0.9714752000000001,0.029373594975381816
1.5,0.9,0.9714823000000001,0.02942363496675018
1.5,1.0,0.9715483,0.029480642032638362
1.6,0.0,0.9968092000000002,0.009204639879600495
1.6,0.1,0.9968092000000002,0.009204639879600495
1.6,0.2,0.9968092000000002,0.009204639879600495
1.6,0.3,0.9968092000000002,0.009204639879600495
1.6,0.4,0.9974486,0.008228263930692288
1.6,0.5,0.9821283,0.03350094459862289
1.6,0.6,0.9353141999999999,0.036816080154456865
1.6,0.7,0.9318300999999998,0.03749334196772928
1.6,0.8,0.9318118,0.0374597770916696
1.6,0.9,0.9315806999999999,0.036745317966161914
1.6,1.0,0.9318259999999999,0.036961886512263585
1.7,0.0,0.9968091000000001,0.009204977802989848
1.7,0.1,0.9968091000000001,0.009204977802989848
1.7,0.2,0.9968091000000001,0.009204977802989848
1.7,0.3,0.997149,0.008668108329976184
1.7,0.4,0.9977681000000002,0.007677036688275736
1.7,0.5,0.9625394999999999,0.06582824430464727
1.7,0.6,0.8714727000000001,0.06380042297214217
1.7,0.7,0.8721042000000003,0.05168776947687869
1.7,0.8,0.8710888000000001,0.0627290379053055
1.7,0.9,0.8713965000000001,0.062168407212208954
1.7,1.0,0.8711376000000002,0.061983346201242094
1.8,0.0,0.9971284,0.008740024700055266
1.8,0.1,0.9971284,0.008740024700055266
1.8,0.2,0.9971284,0.008740024700055266
1.8,0.3,0.9974683,0.008159244129058538
1.8,0.4,0.9977529999999999,0.007738315597262007
1.8,0.5,0.9416262000000001,0.0835668478413624
1.8,0.6,0.8157875999999998,0.04778072700336086
1.8,0.7,0.8103914,0.04828486983088862
1.8,0.8,0.8093999000000001,0.04809871292288791
1.8,0.9,0.8095548000000001,0.047616707883436936
1.8,1.0,0.8091737000000001,0.04753123909821961
1.9,0.0,0.9974690000000002,0.008156649700914873
1.9,0.1,0.9974690000000002,0.008156649700914873
1.9,0.2,0.9974690000000002,0.008156649700914873
1.9,0.3,0.9974690000000002,0.008156649700914873
1.9,0.4,0.9977729,0.007658002125590971
1.9,0.5,0.9076759000000001,0.12064316249484501
1.9,0.6,0.7453431,0.06070962547773183
1.9,0.7,0.7463339000000001,0.04862031914880151
1.9,0.8,0.7497667999999998,0.04808834004457241
1.9,0.9,0.7478734999999999,0.047817903189119895
1.9,1.0,0.7471347999999999,0.04753284896008893
2.0,0.0,0.9971489,0.00866836042831353
2.0,0.1,0.9971489,0.00866836042831353
2.0,0.2,0.9974732000000001,0.00814118298305822
2.0,0.3,0.9974732000000001,0.00814118298305822
2.0,0.4,0.9971289999999999,0.008737958467618078
2.0,0.5,0.8503367999999999,0.18478325063957854
2.0,0.6,0.6197742,0.058943109931903374
2.0,0.7,0.6131719,0.04900371764282973
2.0,0.8,0.6149717,0.04785255838035678
2.0,0.9,0.6136066,0.047271095941976586
2.0,1.0,0.6135904,0.047085388218392844
