b,theta,rho_mean,rho_std
1.0,0.0,0.9999767109295199,0.00023289070480082545
1.0,0.1,0.9999767109295199,0.00023289070480082545
1.0,0.2,0.9999767109295199,0.00023289070480082545
1.0,0.3,0.9999767109295199,0.00023289070480082545
1.0,0.4,0.9999767109295199,0.00023289070480082545
1.0,0.5,0.9999767109295199,0.00023289070480082545
1.0,0.6,0.9999767109295199,0.00023289070480082545
1.0,0.7,0.9999767109295199,0.00023289070480082545
1.0,0.8,0.9999767109295199,0.00023289070480082545
1.0,0.9,0.9999767109295199,0.00023289070480082545
1.0,1.0,0.9999767109295199,0.00023289070480082545
1.1,0.0,0.9998163432073546,0.001149561457181855
1.1,0.1,0.9998163432073546,0.001149561457181855
1.1,0.2,0.9998396322778345,0.001129069769604931
1.1,0.3,1.0,0.0
1.1,0.4,0.999052706843718,0.003861692638979089
1.1,0.5,0.9986681307456589,0.004744822304543049
1.1,0.6,0.9986593462717059,0.005085273199369655
1.1,0.7,0.9985502553626149,0.005191452972080086
1.1,0.8,0.9982687436159347,0.005724007979409717
1.1,0.9,0.9982687436159347,0.005724007979409717
1.1,1.0,0.9981558733401431,0.005883229420277141
1.2,0.0,0.9999167517875384,0.0008324821246169733
1.2,0.1,0.9997513789581205,0.001423050070135214
1.2,0.2,0.9997722165474974,0.0013245054294037306
1.2,0.3,0.9664691521961185,0.05010984410683871
1.2,0.4,0.9622928498467824,0.04720473118732727
1.2,0.5,0.9453873340143002,0.070142418148091
1.2,0.6,0.9448982635342186,0.06560694650187567
1.2,0.7,0.9441733401430031,0.06780815044246905
1.2,0.8,0.9414817160367722,0.06744608146623798
1.2,0.9,0.9401405515832484,0.06823140307539301
1.2,1.0,0.9430996935648622,0.06802077936726351
1.3,0.0,1.0,0.0
1.3,0.1,0.9999228804902962,0.0007711950970377911
1.3,0.2,0.9615778345250254,0.1522776014389217
1.3,0.3,0.45167875383043926,0.2061454923028459
1.3,0.4,0.3712262512768131,0.036169657451624176
1.3,0.5,0.3738290091930541,0.04172550482364619
1.3,0.6,0.37198202247191015,0.041689033575419615
1.3,0.7,0.3734784473953014,0.03834782083354031
1.3,0.8,0.37110490296220633,0.03817130296835827
1.3,0.9,0.37192951991828394,0.038057942750152035
1.3,1.0,0.37127180796731357,0.038382471255889825
1.4,0.0,0.9999124616956078,0.0008753830439223843
1.4,0.1,0.9582649642492339,0.18301719980079964
1.4,0.2,0.532394279877426,0.41807181378684605
1.4,0.3,0.21063789581205308,0.18872067899278103
1.4,0.4,0.16578784473953012,0.05348687944914744
1.4,0.5,0.16509744637385088,0.052308472849148045
1.4,0.6,0.16372717058222677,0.04560046903866266
1.4,0.7,0.16592931562819202,0.05075118463085508
1.4,0.8,0.16273043922369765,0.04903178478855456
1.4,0.9,0.1669664964249234,0.04813898219459276
1.4,1.0,0.16317262512768133,0.048607067151100435
1.5,0.0,0.9104825331971399,0.2857912340026133
1.5,0.1,0.554955975485189,0.4946096763987705
1.5,0.2,0.09953462717058224,0.2849370868975845
1.5,0.3,0.009527987742594484,0.01579944500723761
1.5,0.4,0.009287844739530132,0.01479301408041543
1.5,0.5,0.008952706843718081,0.012037240875230993
1.5,0.6,0.01029182839632278,0.01526554266138352
1.5,0.7,0.00900561797752809,0.013204503078061473
1.5,0.8,0.009687640449438203,0.016354212497838444
1.5,0.9,0.009680081716036772,0.01679837433693987
1.5,1.0,0.009872522982635341,0.01680089136872225
1.6,0.0,0.06171092951991827,0.23829980493972847
1.6,0.1,0.06104361593462717,0.23844603334075193
1.6,0.2,0.010433197139938712,0.09997868755488147
1.6,0.3,0.0007623084780388151,0.0035445098538480226
1.6,0.4,0.0008816138917262512,0.0028026879849788002
1.6,0.5,0.000595505617977528,0.0020745744206437343
1.6,0.6,0.0005767109295199183,0.002201265500371282
1.6,0.7,0.0005269662921348314,0.002058375628223816
1.6,0.8,0.0005279877425944841,0.0020581368149145637
1.6,0.9,0.0005279877425944841,0.0020581368149145637
1.6,1.0,0.0005279877425944841,0.0020581368149145637
1.7,0.0,0.0,0.0
1.7,0.1,0.0,0.0
1.7,0.2,0.0,0.0
1.7,0.3,0.0,0.0
1.7,0.4,0.0,0.0
1.7,0.5,0.0,0.0
1.7,0.6,0.0,0.0
1.7,0.7,0.0,0.0
1.7,0.8,0.0,0.0
1.7,0.9,0.0,0.0
1.7,1.0,0.0,0.0
1.8,0.0,0.0,0.0
1.8,0.1,0.0,0.0
1.8,0.2,0.0,0.0
1.8,0.3,0.0,0.0
1.8,0.4,0.0,0.0
1.8,0.5,0.0,0.0
1.8,0.6,0.0,0.0
1.8,0.7,0.0,0.0
1.8,0.8,0.0,0.0
1.8,0.9,0.0,0.0
1.8,1.0,0.0,0.0
1.9,0.0,0.0,0.0
1.9,0.1,0.0,0.0
1.9,0.2,0.0,0.0
1.9,0.3,0.0,0.0
1.9,0.4,0.0,0.0
1.9,0.5,0.0,0.0
1.9,0.6,0.0,0.0
1.9,0.7,0.0,0.0
1.9,0.8,0.0,0.0
1.9,0.9,0.0,0.0
1.9,1.0,0.0,0.0
2.0,0.0,0.0,0.0
2.0,0.1,0.0,0.0
2.0,0.2,0.0,0.0
2.0,0.3,0.0,0.0
2.0,0.4,0.0,0.0
2.0,0.5,0.0,0.0
2.0,0.6,0.0,0.0
2.0,0.7,0.0,0.0
2.0,0.8,0.0,0.0
2.0,0.9,0.0,0.0
2.0,1.0,0.0,0.0
