z,regime,L,b,theta,rho_corr,rho_uncorr,rho_shuffled,corr_to_uncorr,uncorr_to_shuffled,sem_uncorr,sem_shuffled,degenerate,combined_sem,z_score
4,bistable,1,2.0,0.5,0.5846908,0.5847498,0.5788301,5.900000000003125e-05,-0.005919699999999972,0.00559969695424618,0.00554627418755468,False,0.007881482306199087,-0.7510896770451292
4,coop,1,1.4,0.4,0.9652057,0.9626533,0.9653562,-0.00255240000000001,0.0027028999999999526,0.00891517403202613,0.00861297223980411,False,0.012396113053088426,0.21804415532710386
4,defect,1,2.0,0.7,0.5827585999999999,0.5849382,0.5806118000000001,0.0021796000000000593,-0.0043263999999998415,0.00563393645037541,0.00562941379042599,False,0.007964391976209293,-0.5432178643295531
4,bistable,4,2.0,0.5,0.7505185,0.59724,0.5767095000000001,-0.15327849999999998,-0.020530499999999896,0.00850803669265926,0.00801070654568691,False,0.011685807962000206,-1.7568746694076072
4,coop,4,1.4,0.4,0.9986487,0.9755735,0.9791428,-0.023075199999999962,0.0035692999999999975,0.007402656654399769,0.00669763941240388,False,0.009982870290728764,0.3575424598389161
4,defect,4,2.0,0.7,0.5869532,0.5902704000000001,0.5754737999999999,0.003317200000000131,-0.01479660000000016,0.00429898439479218,0.007828854360736059,False,0.00893152996010665,-1.6566702531470294
16,bistable,1,1.8,0.1,0.1056407999999999,0.0637611,0.0343671,-0.041879699999999895,-0.029394000000000003,0.02177192300628996,0.01417031927193547,False,0.025977193452342073,-1.1315310121521183
16,coop,1,1.0,0.0,0.9788332,0.9788332,0.9788332,0.0,0.0,0.01032018647830894,0.01032018647830894,True,0.014594947683843932,0.0
16,defect,1,2.0,0.6,0.0025061999999999,0.0026677999999999,0.0034111999999999,0.00016160000000000002,0.0007434,0.00111663976973486,0.00121684299494365,False,0.0016515420823269848,0.4501247700286065
16,transition,1,1.7,0.2,0.1046316,0.0742594,0.0458812,-0.030372200000000002,-0.028378200000000006,0.019596079265047382,0.01062446561677434,False,0.02229093071641559,-1.2730827779703968
16,bistable,4,1.8,0.1,0.4761275,0.3720002,0.3403069999999999,-0.10412729999999998,-0.03169320000000009,0.04740994291551215,0.04660351755517121,False,0.06648000102111365,-0.47673284466308175
16,coop,4,1.0,0.0,0.9788332,0.9788332,0.9788332,0.0,0.0,0.01032018647830894,0.01032018647830894,True,0.014594947683843932,0.0
16,defect,4,2.0,0.6,0.0032495999999999,0.0021179999999999,0.0022549999999999,-0.0011316,0.00013699999999999997,0.00104635686401374,0.00108122435743517,False,0.0015046291230664667,0.0910523383468685
16,transition,4,1.7,0.2,0.4720948,0.3738299999999999,0.3738322999999999,-0.0982648000000001,2.300000000010627e-06,0.04731596450512771,0.04728299542948765,False,0.06689157012535628,3.438400377955512e-05
