regime,n_points,within_std_mean,between_std_mean,ratio_mean,ratio_median,ratio_max
coop,32,0.0036390635934089375,0.019481752513180236,0.5225624038102216,0.318834468446085,2.3861293793143665
defect,32,0.012588951428340265,0.01094757660266124,0.6351542417626409,0.7834880304258867,0.9521730763030115
transition,24,0.35375122300260603,0.06785603344458545,0.273018401271947,0.1857042911695484,0.8744874351435902
bistable,23,0.35375302353781096,0.07350472226521401,0.21207144098613215,0.20782130173600397,0.3155403661519708
