condition,n_points,mean_abs_diff,max_abs_diff
K=0.05,14,0.033031006531236314,0.24683659999999985
K=0.20,14,0.03907123294014855,0.26306090000000015
N=250,14,0.12822456238532112,0.4489173
N=500,14,0.06200129443609774,0.25374680000000027
N=2000,14,0.02085928027886993,0.1571282
Asynchronous,14,0.10611861395077911,0.45609849999999985
