topology,mean_abs_diff,max_abs_diff
BA_z4,0.007626049999999995,0.021145599999999876
BA_z16,0.0038080499999999825,0.010730999999999935
ER_z4,0.001447139938712945,0.004747293156281918
ER_z16,0.0011065499999999978,0.004426199999999991
