topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,1.8,0.3,1,0,0.8320034,0.13070778039194872,3.8477258682250977
BA,4,1.8,0.3,2,0,0.9759891999999999,0.05337787792596095,3.7928950786590576
BA,4,1.8,0.3,3,0,0.9987955,0.012045000000000038,8.61607027053833
BA,4,1.8,0.3,4,0,0.9988141999999999,0.011858000000000002,19.409200191497803
BA,4,2.0,0.3,1,0,0.6294080999999999,0.13276722265493485,4.17532205581665
BA,4,2.0,0.3,2,0,0.9500914,0.09829453124547509,4.083256006240845
BA,4,2.0,0.3,3,0,0.9964959999999999,0.03503999999999999,8.723238945007324
BA,4,2.0,0.3,4,0,0.9988125,0.011875000000000024,19.31371283531189
BA,4,1.8,0.3,1,1,0.9030241999999998,0.07989434934292473,3.2142701148986816
BA,4,1.8,0.3,2,1,0.9984928,0.015072000000000042,3.670689105987549
BA,4,1.8,0.3,3,1,1.0,0.0,9.140875816345215
BA,4,1.8,0.3,4,1,1.0,0.0,19.690491914749146
BA,4,2.0,0.3,1,1,0.7238694,0.17602458170174054,3.859743118286133
BA,4,2.0,0.3,2,1,0.9958324999999999,0.041675,3.6281821727752686
BA,4,2.0,0.3,3,1,1.0,0.0,8.951133012771606
BA,4,2.0,0.3,4,1,1.0,0.0,19.55283808708191
BA,4,1.8,0.3,1,2,0.8614789,0.10303153474205377,3.755737781524658
BA,4,1.8,0.3,2,2,0.9336583999999998,0.16667752451129134,4.040841102600098
BA,4,1.8,0.3,3,2,0.948445,0.1504008211044371,10.514012813568115
BA,4,1.8,0.3,4,2,0.9536855,0.14727011804654888,22.31923508644104
BA,4,2.0,0.3,1,2,0.6368446999999999,0.15401472797509472,4.173641920089722
BA,4,2.0,0.3,2,2,0.9299927999999998,0.17097413393525082,4.192821025848389
BA,4,2.0,0.3,3,2,0.9529283,0.14671593493464669,10.489767074584961
BA,4,2.0,0.3,4,2,0.9560551999999999,0.1394564911729197,22.816662073135376
BA,4,1.8,0.3,1,3,0.8589603999999998,0.11750043058524154,3.305903911590576
BA,4,1.8,0.3,2,3,0.9878399999999999,0.05390087201558436,3.690131902694702
BA,4,1.8,0.3,3,3,1.0,0.0,8.475938081741333
BA,4,1.8,0.3,4,3,1.0,0.0,19.26087999343872
BA,4,2.0,0.3,1,3,0.6904604000000001,0.15061739998963047,3.920257091522217
BA,4,2.0,0.3,2,3,0.9558851999999999,0.11054642327067571,3.9845240116119385
BA,4,2.0,0.3,3,3,0.9977315,0.022684999999999976,8.495155811309814
BA,4,2.0,0.3,4,3,0.9978501,0.02149899999999999,19.082149028778076
BA,4,1.8,0.3,1,4,0.8979883,0.11757058650109778,3.115694046020508
BA,4,1.8,0.3,2,4,0.9945159,0.054841000000000015,3.5237209796905518
BA,4,1.8,0.3,3,4,1.0,0.0,8.615335941314697
BA,4,1.8,0.3,4,4,1.0,0.0,19.122618198394775
BA,4,2.0,0.3,1,4,0.6980578,0.1813548415529816,3.4158637523651123
BA,4,2.0,0.3,2,4,1.0,0.0,3.5593841075897217
BA,4,2.0,0.3,3,4,1.0,0.0,8.62716817855835
BA,4,2.0,0.3,4,4,1.0,0.0,19.064889907836914
BA,4,1.8,0.3,1,5,0.7415796,0.2262351461095113,3.5497090816497803
BA,4,1.8,0.3,2,5,0.9262106,0.10618628330086954,4.220448970794678
BA,4,1.8,0.3,3,5,0.9877562000000001,0.0489027893852341,9.183313846588135
BA,4,1.8,0.3,4,5,0.9884869999999999,0.04600378134436126,21.30816912651062
BA,4,2.0,0.3,1,5,0.6251296000000001,0.2062231923976221,3.9665720462799072
BA,4,2.0,0.3,2,5,0.9024983,0.12537003444796868,4.272084951400757
BA,4,2.0,0.3,3,5,0.9921442,0.03900280161343499,9.308569192886353
BA,4,2.0,0.3,4,5,0.9904361,0.042029193555182476,20.692928075790405
BA,4,1.8,0.3,1,6,0.8611401999999999,0.10399221579240499,3.080465078353882
BA,4,1.8,0.3,2,6,0.9997111000000001,0.0013249981093945414,3.5703041553497314
BA,4,1.8,0.3,3,6,1.0,0.0,8.840978860855103
BA,4,1.8,0.3,4,6,1.0,0.0,19.496463298797607
BA,4,2.0,0.3,1,6,0.6731324999999999,0.1658463568839142,3.4405629634857178
BA,4,2.0,0.3,2,6,0.9951511,0.04488078020835991,3.5822970867156982
BA,4,2.0,0.3,3,6,1.0,0.0,8.822263717651367
BA,4,2.0,0.3,4,6,1.0,0.0,19.587687969207764
BA,4,1.8,0.3,1,7,0.8982860000000001,0.08568997775042711,2.732250928878784
BA,4,1.8,0.3,2,7,1.0,0.0,3.473987102508545
BA,4,1.8,0.3,3,7,1.0,0.0,8.441179990768433
BA,4,1.8,0.3,4,7,1.0,0.0,19.00568914413452
BA,4,2.0,0.3,1,7,0.735207,0.14000269296472026,3.4505181312561035
BA,4,2.0,0.3,2,7,1.0,0.0,3.4656951427459717
BA,4,2.0,0.3,3,7,1.0,0.0,8.418642044067383
BA,4,2.0,0.3,4,7,1.0,0.0,19.058153867721558
BA,4,1.8,0.3,1,8,0.8963247000000001,0.09907630234202155,2.7959580421447754
BA,4,1.8,0.3,2,8,1.0,0.0,3.409749984741211
BA,4,1.8,0.3,3,8,1.0,0.0,7.966546058654785
BA,4,1.8,0.3,4,8,1.0,0.0,18.217885971069336
BA,4,2.0,0.3,1,8,0.7175573999999999,0.18637164269070636,3.225682020187378
BA,4,2.0,0.3,2,8,1.0,0.0,3.37772798538208
BA,4,2.0,0.3,3,8,1.0,0.0,7.94151496887207
BA,4,2.0,0.3,4,8,1.0,0.0,18.3345890045166
BA,4,1.8,0.3,1,9,0.8441712000000001,0.10719627591601595,2.831047773361206
BA,4,1.8,0.3,2,9,0.9615742999999998,0.03692076312876121,3.6499650478363037
BA,4,1.8,0.3,3,9,0.9885464999999999,0.019572021329934124,8.525294065475464
BA,4,1.8,0.3,4,9,0.9868880999999999,0.023816231528777255,19.52990698814392
BA,4,2.0,0.3,1,9,0.7061918999999997,0.138061604626743,3.1759259700775146
BA,4,2.0,0.3,2,9,0.9527839999999999,0.06031837234561488,3.655569076538086
BA,4,2.0,0.3,3,9,0.9863170999999998,0.022536376578386075,8.707973003387451
BA,4,2.0,0.3,4,9,0.9868837,0.022758638659780756,19.62060284614563
BA,4,1.8,0.3,1,10,0.8870547000000001,0.2221436339350936,3.326507091522217
BA,4,1.8,0.3,2,10,0.9314921000000002,0.14781129617645478,4.558234214782715
BA,4,1.8,0.3,3,10,0.9904900000000001,0.0545714671996569,8.848313093185425
BA,4,1.8,0.3,4,10,0.9920082000000001,0.046580554779821544,19.787405014038086
BA,4,2.0,0.3,1,10,0.7110711999999999,0.20464986944337862,3.7378318309783936
BA,4,2.0,0.3,2,10,0.9035291000000001,0.1790428881022363,4.362813949584961
BA,4,2.0,0.3,3,10,0.9867097,0.06585603000324178,9.182552814483643
BA,4,2.0,0.3,4,10,0.9936201,0.04572089875339482,19.726290941238403
BA,4,1.8,0.3,1,11,0.9050358999999998,0.07151127480638525,2.905761957168579
BA,4,1.8,0.3,2,11,1.0,0.0,3.4945478439331055
BA,4,1.8,0.3,3,11,1.0,0.0,8.416706800460815
BA,4,1.8,0.3,4,11,1.0,0.0,18.8605797290802
BA,4,2.0,0.3,1,11,0.7451410999999999,0.14350331167047659,3.6024820804595947
BA,4,2.0,0.3,2,11,1.0,0.0,3.5067148208618164
BA,4,2.0,0.3,3,11,1.0,0.0,8.428259134292603
BA,4,2.0,0.3,4,11,1.0,0.0,18.824896812438965
BA,4,1.8,0.3,1,12,0.9245315,0.06863797112055002,2.9275529384613037
BA,4,1.8,0.3,2,12,1.0,0.0,3.5467801094055176
BA,4,1.8,0.3,3,12,1.0,0.0,8.955554008483887
BA,4,1.8,0.3,4,12,1.0,0.0,19.931198120117188
BA,4,2.0,0.3,1,12,0.7703962000000001,0.14904274679867158,3.054086923599243
BA,4,2.0,0.3,2,12,1.0,0.0,3.542907953262329
BA,4,2.0,0.3,3,12,1.0,0.0,8.964938163757324
BA,4,2.0,0.3,4,12,1.0,0.0,19.954917907714844
BA,4,1.8,0.3,1,13,0.7990855,0.21462045717764516,3.704572916030884
BA,4,1.8,0.3,2,13,0.8536823999999998,0.16090694687855395,5.154676914215088
BA,4,1.8,0.3,3,13,0.87762,0.14021336314360486,12.616986751556396
BA,4,1.8,0.3,4,13,0.8980267,0.1321905211386164,27.33798909187317
BA,4,2.0,0.3,1,13,0.6531499,0.18234105449551222,3.9479331970214844
BA,4,2.0,0.3,2,13,0.8476872999999999,0.17028276785391377,5.9130027294158936
BA,4,2.0,0.3,3,13,0.8775034,0.14590521516575633,13.14695405960083
BA,4,2.0,0.3,4,13,0.9064352,0.12649258281828385,28.139231204986572
BA,4,1.8,0.3,1,14,0.8794768000000001,0.09875163324444028,3.346658229827881
BA,4,1.8,0.3,2,14,1.0,0.0,3.463282346725464
BA,4,1.8,0.3,3,14,1.0,0.0,8.432696104049683
BA,4,1.8,0.3,4,14,1.0,0.0,18.89794921875
BA,4,2.0,0.3,1,14,0.6936824,0.18218966196663064,3.518052101135254
BA,4,2.0,0.3,2,14,0.9714539999999999,0.10491463980038462,3.6064541339874268
BA,4,2.0,0.3,3,14,1.0,0.0,8.442875862121582
BA,4,2.0,0.3,4,14,1.0,0.0,18.899847745895386
BA,4,1.8,0.3,1,15,0.8490477,0.1077229383566561,2.9963059425354004
BA,4,1.8,0.3,2,15,0.9740766999999999,0.03136916049903377,3.584057092666626
BA,4,1.8,0.3,3,15,0.9775918,0.02886688257949911,8.8853440284729
