topo,z,regime,b,theta,L,net_realization,rho_mean,rho_std,seconds
ER,4,defect,1.7,0.5,4,5,0.02017592975206611,0.14068304734515874,9.841597080230713
ER,4,defect,1.7,0.5,1,6,0.0,0.0,2.9045140743255615
ER,4,defect,1.7,0.5,4,6,0.0,0.0,10.941250085830688
ER,4,defect,1.7,0.5,1,7,0.0025800203873598358,0.00330470537763136,2.9208199977874756
ER,4,defect,1.7,0.5,4,7,0.00296901121304791,0.003049642367462514,9.62922191619873
ER,4,defect,1.7,0.5,1,8,0.0,0.0,2.8369510173797607
ER,4,defect,1.7,0.5,4,8,3.460743801652893e-05,0.0003080241552879168,9.43792724609375
ER,4,defect,1.7,0.5,1,9,0.0005579695431472078,0.002257100529592883,2.895146369934082
ER,4,defect,1.7,0.5,4,9,0.0005598984771573601,0.0019521650845553053,1030.062390089035
ER,4,transition,1.7,0.4,1,0,0.00026748216106014285,0.0010377092724843946,3.061220169067383
ER,4,transition,1.7,0.4,4,0,0.6320101936799185,0.48264817435586427,9.989872217178345
ER,4,transition,1.7,0.4,1,1,0.0,0.0,3.0417652130126953
ER,4,transition,1.7,0.4,4,1,0.46,0.5009082659620331,10.975300073623657
ER,4,transition,1.7,0.4,1,2,1.0102040816326528e-05,0.00010102040816326528,3.0168402194976807
ER,4,transition,1.7,0.4,4,2,0.49013448979591834,0.5022866733780897,11.229318857192993
ER,4,transition,1.7,0.4,1,3,0.0006227180527383369,0.002070478528649719,49.48581290245056
ER,4,transition,1.7,0.4,4,3,0.5603963488843814,0.49844140707208495,10.85154104232788
ER,4,transition,1.7,0.4,1,4,0.0,0.0,3.377606153488159
ER,4,transition,1.7,0.4,4,4,0.6904503582395087,0.4641692753980589,9.760081052780151
ER,4,transition,1.7,0.4,1,5,4.6900826446280993e-05,0.0004690082644628099,3.0210843086242676
ER,4,transition,1.7,0.4,4,5,0.7202502066115701,0.45085933448787296,9.656960010528564
ER,4,transition,1.7,0.4,1,6,0.0,0.0,3.0675137042999268
ER,4,transition,1.7,0.4,4,6,0.620707019328586,0.48694288263197594,10.774196147918701
ER,4,transition,1.7,0.4,1,7,0.0025800203873598358,0.00330470537763136,3.059391975402832
ER,4,transition,1.7,0.4,4,7,0.7515159021406729,0.4325650817907273,9.363454103469849
ER,4,transition,1.7,0.4,1,8,0.00017489669421487597,0.0007975803691467038,2.977896213531494
ER,4,transition,1.7,0.4,4,8,0.6504401859504132,0.47877198589093517,9.315659761428833
ER,4,transition,1.7,0.4,1,9,0.0006011167512690352,0.0025275768464198605,3.0185599327087402
ER,4,transition,1.7,0.4,4,9,0.6117024365482233,0.4878140444312393,10.020076036453247
ER,16,coop,1.2,0.0,1,0,0.22705530000000004,0.027401454965978084,6.042149066925049
ER,16,coop,1.2,0.0,4,0,0.9976335999999999,0.005417828690275585,28.198011875152588
ER,16,coop,1.2,0.0,1,1,0.2092387,0.0236037225558798,5.234611988067627
ER,16,coop,1.2,0.0,4,1,0.9952048999999998,0.00719011814783322,28.571141958236694
