topo,z,b,theta,L,sweep,value,K,update_rule,rho_mean,rho_std,seconds
BA,16,1.7,0.3,4,N,1000.0,0.1,fermi,0.41604740000000007,0.48035299980057805,32.44413995742798
BA,16,1.7,0.3,4,N,2000.0,0.1,fermi,0.50726405,0.4485632962540634,150.61018919944763
BA,16,1.7,0.3,4,K,0.05,0.05,fermi,0.41532179999999996,0.4809531319705516,32.127986907958984
BA,16,1.7,0.3,4,K,0.2,0.2,fermi,0.4460673,0.4844479315609124,33.620930910110474
BA,16,1.7,0.3,4,async,1.0,0.1,fermi_async,0.45217690000000005,0.4794690672819174,37.51978278160095
ER,4,1.4,0.3,1,N,250.0,0.1,fermi,0.038079166666666664,0.10900508071348054,0.9591219425201416
ER,4,1.4,0.3,1,N,500.0,0.1,fermi,0.07580243902439025,0.0715646572682296,2.008193016052246
ER,4,1.4,0.3,1,N,1000.0,0.1,fermi,0.2220120285423038,0.02625496682631206,4.640544176101685
ER,4,1.4,0.3,1,N,2000.0,0.1,fermi,0.2099703873598369,0.01802591557705415,6.400176763534546
ER,4,1.4,0.3,1,K,0.05,0.05,fermi,0.25801712538226296,0.02246360001818501,4.413637161254883
ER,4,1.4,0.3,1,K,0.2,0.2,fermi,0.11623425076452598,0.06603655955205032,4.265625953674316
ER,4,1.4,0.3,1,async,1.0,0.1,fermi_async,0.3021958205912334,0.020626262095488828,6.773762941360474
ER,4,1.4,0.3,4,N,250.0,0.1,fermi,0.94,0.23868325657594203,1.9060449600219727
ER,4,1.4,0.3,4,N,500.0,0.1,fermi,0.9903298780487805,0.09670121951219514,4.4073240756988525
ER,4,1.4,0.3,4,N,1000.0,0.1,fermi,1.0,0.0,9.778999090194702
ER,4,1.4,0.3,4,N,2000.0,0.1,fermi,0.999970489296636,0.0002951070336391747,21.532219171524048
ER,4,1.4,0.3,4,K,0.05,0.05,fermi,1.0,0.0,9.889549016952515
ER,4,1.4,0.3,4,K,0.2,0.2,fermi,1.0,0.0,9.783111810684204
ER,4,1.4,0.3,4,async,1.0,0.1,fermi_async,1.0,0.0,11.457459926605225
ER,4,1.6,0.3,1,N,250.0,0.1,fermi,0.0038870833333333327,0.0108572374434383,0.8173880577087402
ER,4,1.6,0.3,1,N,500.0,0.1,fermi,0.000709146341463415,0.003545943739231915,1.4880139827728271
ER,4,1.6,0.3,1,N,1000.0,0.1,fermi,0.008217023445463816,0.011335311057356206,3.0526111125946045
ER,4,1.6,0.3,1,N,2000.0,0.1,fermi,0.0013921508664627934,0.0026793905280021895,4.377254009246826
ER,4,1.6,0.3,1,K,0.05,0.05,fermi,0.025146992864424057,0.012666526299711772,3.0664381980895996
ER,4,1.6,0.3,1,K,0.2,0.2,fermi,0.0,0.0,3.0375020503997803
ER,4,1.6,0.3,1,async,1.0,0.1,fermi_async,0.012220387359836903,0.013676061220366777,4.748048782348633
ER,4,1.6,0.3,4,N,250.0,0.1,fermi,0.9101833333333335,0.2858664608125766,1.896092176437378
ER,4,1.6,0.3,4,N,500.0,0.1,fermi,0.99,0.1,4.427767753601074
ER,4,1.6,0.3,4,N,1000.0,0.1,fermi,1.0,0.0,9.871848106384277
ER,4,1.6,0.3,4,N,2000.0,0.1,fermi,0.9999083588175333,0.0005383289930945227,21.374239921569824
ER,4,1.6,0.3,4,K,0.05,0.05,fermi,1.0,0.0,9.80393123626709
ER,4,1.6,0.3,4,K,0.2,0.2,fermi,1.0,0.0,9.862417221069336
ER,4,1.6,0.3,4,async,1.0,0.1,fermi_async,1.0,0.0,11.467395067214966
ER,16,1.1,0.3,1,N,250.0,0.1,fermi,0.0,0.0,1.0343451499938965
ER,16,1.1,0.3,1,N,500.0,0.1,fermi,0.19026020000000007,0.12404377065513379,3.1536471843719482
ER,16,1.1,0.3,1,N,1000.0,0.1,fermi,0.32658019999999993,0.028446817861128904,5.165331840515137
ER,16,1.1,0.3,1,N,2000.0,0.1,fermi,0.33751415,0.02033228796437236,8.823170900344849
ER,16,1.1,0.3,1,K,0.05,0.05,fermi,0.3628474,0.025836821919676792,5.1136860847473145
ER,16,1.1,0.3,1,K,0.2,0.2,fermi,0.2632132,0.025016136928556375,5.421144008636475
ER,16,1.1,0.3,1,async,1.0,0.1,fermi_async,0.41114870000000003,0.016185892576405826,7.554407119750977
ER,16,1.1,0.3,4,N,250.0,0.1,fermi,0.51,0.5024183937956914,2.7326440811157227
ER,16,1.1,0.3,4,N,500.0,0.1,fermi,0.8623576000000002,0.30894163244996375,10.314498901367188
ER,16,1.1,0.3,4,N,1000.0,0.1,fermi,0.9916578,0.06694798370663484,29.724031925201416
ER,16,1.1,0.3,4,N,2000.0,0.1,fermi,0.99982405,0.0011895151577874386,108.87763214111328
ER,16,1.1,0.3,4,K,0.05,0.05,fermi,0.9848905000000001,0.09001648960472507,29.410281896591187
